Summary stage 2000 (1998+)	Race recode (W, B, AI, API)	Year of diagnosis	Age recode with <1 year olds	Age-Adjusted Rate	Count	Population	Std Pop
Localized	Black	2009	05-09 years	0.0	0	843883	19919840
Localized	Black	2009	10-14 years	0.0	0	889185	20056779
Localized	Black	2009	15-19 years	0.0	0	984716	19819518
Localized	Black	2009	20-24 years	0.4	3	849194	18257225
Localized	Black	2009	25-29 years	1.0	8	786040	17722067
Localized	Black	2009	30-34 years	1.8	13	725841	19511370
Localized	Black	2009	35-39 years	3.9	29	745093	22179956
Localized	Black	2009	40-44 years	7.8	59	752245	22479229
Localized	Black	2009	45-49 years	14.1	109	775798	19805793
Localized	Black	2009	50-54 years	33.3	236	707772	17224359
Localized	Black	2009	55-59 years	48.0	275	572621	13307234
Localized	Black	2009	60-64 years	63.5	269	423879	10654272
Localized	Black	2009	65-69 years	73.4	218	297051	9409940
Localized	Black	2009	70-74 years	90.6	196	216408	8725574
Localized	Black	2009	75-79 years	115.2	179	155409	7414559
Localized	Black	2009	80-84 years	124.6	131	105117	4900234
Localized	Black	2009	85+ years	113.2	107	94558	4259173
Localized	Black	2010	00 years	0.0	0	170369	3794901
Localized	Black	2010	01-04 years	0.0	0	698966	15191619
Localized	Black	2010	05-09 years	0.0	0	847999	19919840
Localized	Black	2010	10-14 years	0.0	0	884783	20056779
Localized	Black	2010	15-19 years	0.0	0	972538	19819518
Localized	Black	2010	20-24 years	0.5	4	880094	18257225
Localized	Black	2010	25-29 years	0.6	5	785291	17722067
Localized	Black	2010	30-34 years	2.4	18	749373	19511370
Localized	Black	2010	35-39 years	3.6	26	730981	22179956
Localized	Black	2010	40-44 years	8.8	66	748550	22479229
Localized	Black	2010	45-49 years	12.1	94	777623	19805793
Localized	Black	2010	50-54 years	31.0	226	729745	17224359
Localized	Black	2010	55-59 years	43.3	257	593173	13307234
Localized	Black	2010	60-64 years	58.1	266	457886	10654272
Localized	Black	2010	65-69 years	70.1	216	308053	9409940
Localized	Black	2010	70-74 years	102.3	228	222858	8725574
Localized	Black	2010	75-79 years	102.2	162	158464	7414559
Localized	Black	2010	80-84 years	113.3	122	107640	4900234
Localized	Black	2010	85+ years	99.1	98	98875	4259173
Localized	Black	2011	00 years	0.0	0	170632	3794901
Localized	Black	2011	01-04 years	0.0	0	698243	15191619
Localized	Black	2011	05-09 years	0.0	0	847508	19919840
Localized	Black	2011	10-14 years	0.1	1	885788	20056779
Localized	Black	2011	15-19 years	0.2	2	946956	19819518
Localized	Black	2011	20-24 years	0.0	0	924816	18257225
Localized	Black	2011	25-29 years	1.4	11	797228	17722067
Localized	Black	2011	30-34 years	1.0	8	767810	19511370
Localized	Black	2011	35-39 years	3.8	27	716048	22179956
Localized	Black	2011	40-44 years	6.0	45	751035	22479229
Localized	Black	2011	45-49 years	12.6	97	772426	19805793
Localized	Black	2011	50-54 years	31.0	230	740752	17224359
Localized	Black	2011	55-59 years	38.5	236	613377	13307234
Localized	Black	2011	60-64 years	54.3	265	488295	10654272
Localized	Black	2011	65-69 years	68.4	218	318666	9409940
Localized	Black	2011	70-74 years	87.5	201	229594	8725574
Localized	Black	2011	75-79 years	107.2	176	164221	7414559
Localized	Black	2011	80-84 years	97.1	106	109122	4900234
Localized	Black	2011	85+ years	106.6	109	102267	4259173
Localized	Black	2012	00 years	0.0	0	167906	3794901
Localized	Black	2012	01-04 years	0.0	0	692818	15191619
Localized	Black	2012	05-09 years	0.0	0	856405	19919840
Localized	Black	2012	10-14 years	0.0	0	879434	20056779
